path_uid,from_node,to_node,path_id,rank_by_total,algorithm,path_geometry,grid_cell_sequence,trajectory_sample_count,distance,travel_time,turn_count,turn_cost,risk_cost,dynamic_cost,total_cost,planning_status,start_cell,goal_cell
IN1__IN2__path_1,IN1,IN2,path_1,1,davg,"0.00,1.00;0.00,5.00",,9,4.0,4.0,0,0.0,0.0,0.0,4.0,ok,,
IN1__P1__path_1,IN1,P1,path_1,1,davg,"0.00,1.00;2.98,0.95",,7,2.98,2.98,0,0.0,0.0,0.0,2.98,ok,,
IN1__P2__path_1,IN1,P2,path_1,1,davg,"0.00,1.00;3.05,3.10;4.50,3.10;4.52,2.35",,13,5.903,5.903,2,1.074,0.0,0.0,6.977,ok,,
IN1__P3__path_1,IN1,P3,path_1,1,davg,"0.00,1.00;3.58,5.25",,13,5.557,5.557,0,0.0,0.0,0.0,5.557,ok,,
IN1__P4__path_1,IN1,P4,path_1,1,davg,"0.00,1.00;3.05,0.35;4.50,0.35;4.98,1.35",,13,5.678,5.678,2,0.667,0.0,0.0,6.344,ok,,
IN1__P5__path_1,IN1,P5,path_1,1,davg,"0.00,1.00;3.05,3.10;4.85,4.00;5.62,4.10",,14,6.492,6.492,2,0.237,0.0,0.0,6.729,ok,,
IN1__P6__path_1,IN1,P6,path_1,1,davg,"0.00,1.00;3.05,3.10;4.85,4.00;5.50,4.25;6.15,5.70;7.98,5.72",,21,9.831,9.831,4,1.078,0.0,0.0,10.909,ok,,
IN1__P7__path_1,IN1,P7,path_1,1,davg,"0.00,1.00;3.05,0.35;4.50,0.35;6.75,0.40;7.28,1.00",,17,7.62,7.62,3,0.529,0.0,0.0,8.148,ok,,
IN1__P8__path_1,IN1,P8,path_1,1,davg,"0.00,1.00;3.05,0.35;4.50,0.35;6.75,0.40;8.80,0.55;8.82,2.35",,23,10.675,10.675,4,0.885,0.0,0.0,11.559,ok,,
IN1__P9__path_1,IN1,P9,path_1,1,davg,"0.00,1.00;3.05,3.10;4.85,4.00;5.50,4.25;6.08,5.05",,16,7.4,7.4,3,0.406,0.0,0.0,7.806,ok,,
IN1__SORT1__path_1,IN1,SORT1,path_1,1,davg,"0.00,1.00;3.05,0.35;4.50,0.35;6.75,0.40;8.80,0.55;9.72,2.16",,23,10.729,10.729,4,0.631,0.0,0.0,11.36,ok,,
IN1__SORT2__path_1,IN1,SORT2,path_1,1,davg,"0.00,1.00;3.05,3.10;4.85,4.00;10.36,4.05",,24,11.226,11.226,2,0.297,0.0,0.0,11.523,ok,,
IN1__OUT1__path_1,IN1,OUT1,path_1,1,davg,"0.00,1.00;3.05,0.35;4.50,0.35;6.75,0.40;8.80,0.55;12.00,2.00",,26,12.388,12.388,4,0.318,0.0,0.0,12.705,ok,,
IN1__OUT2__path_1,IN1,OUT2,path_1,1,davg,"0.00,1.00;3.05,3.10;4.85,4.00;12.00,4.00",,27,12.866,12.866,2,0.301,0.0,0.0,13.167,ok,,
IN1__CHG1__path_1,IN1,CHG1,path_1,1,davg,"0.00,1.00;1.00,0.00",,4,1.414,1.414,0,0.0,0.0,0.0,1.414,ok,,
IN1__CHG2__path_1,IN1,CHG2,path_1,1,davg,"0.00,1.00;3.05,0.35;9.00,0.00",,20,9.079,9.079,1,0.076,0.0,0.0,9.154,ok,,
IN2__IN1__path_1,IN2,IN1,path_1,1,davg,"0.00,5.00;0.00,1.00",,9,4.0,4.0,0,0.0,0.0,0.0,4.0,ok,,
IN2__P1__path_1,IN2,P1,path_1,1,davg,"0.00,5.00;2.98,0.95",,12,5.028,5.028,0,0.0,0.0,0.0,5.028,ok,,
IN2__P2__path_1,IN2,P2,path_1,1,davg,"0.00,5.00;4.50,3.10;4.52,2.35",,13,5.635,5.635,1,0.572,0.0,0.0,6.207,ok,,
IN2__P3__path_1,IN2,P3,path_1,1,davg,"0.00,5.00;3.58,5.25",,9,3.589,3.589,0,0.0,0.0,0.0,3.589,ok,,
IN2__P4__path_1,IN2,P4,path_1,1,davg,"0.00,5.00;4.50,3.10;4.98,1.35",,15,6.699,6.699,1,0.452,0.0,0.0,7.151,ok,,
IN2__P5__path_1,IN2,P5,path_1,1,davg,"0.00,5.00;3.65,4.25;5.62,4.10",,13,5.702,5.702,1,0.063,0.0,0.0,5.765,ok,,
IN2__P6__path_1,IN2,P6,path_1,1,davg,"0.00,5.00;3.65,4.25;5.50,4.25;6.15,5.70;7.98,5.72",,19,8.995,8.995,3,1.245,0.0,0.0,10.241,ok,,
IN2__P7__path_1,IN2,P7,path_1,1,davg,"0.00,5.00;4.50,3.10;4.85,2.75;6.75,2.75;7.28,1.00",,20,9.108,9.108,3,1.224,0.0,0.0,10.332,ok,,
IN2__P8__path_1,IN2,P8,path_1,1,davg,"0.00,5.00;3.65,4.25;6.50,4.00;8.80,3.20;8.82,2.35",,21,9.873,9.873,3,0.787,0.0,0.0,10.66,ok,,
IN2__P9__path_1,IN2,P9,path_1,1,davg,"0.00,5.00;3.65,4.25;5.50,4.25;6.08,5.05",,15,6.564,6.564,2,0.573,0.0,0.0,7.137,ok,,
IN2__SORT1__path_1,IN2,SORT1,path_1,1,davg,"0.00,5.00;3.65,4.25;6.50,4.00;8.80,3.20;9.72,2.16",,22,10.411,10.411,3,0.437,0.0,0.0,10.848,ok,,
IN2__SORT2__path_1,IN2,SORT2,path_1,1,davg,"0.00,5.00;3.65,4.25;6.15,4.15;10.36,4.05",,22,10.439,10.439,2,0.089,0.0,0.0,10.529,ok,,
IN2__OUT1__path_1,IN2,OUT1,path_1,1,davg,"0.00,5.00;3.65,4.25;6.50,4.00;8.80,3.20;12.00,2.00",,26,12.44,12.44,3,0.193,0.0,0.0,12.633,ok,,
IN2__OUT2__path_1,IN2,OUT2,path_1,1,davg,"0.00,5.00;3.65,4.25;6.15,4.15;12.00,4.00",,26,12.08,12.08,2,0.089,0.0,0.0,12.169,ok,,
IN2__CHG1__path_1,IN2,CHG1,path_1,1,davg,"0.00,5.00;1.00,0.00",,12,5.099,5.099,0,0.0,0.0,0.0,5.099,ok,,
IN2__CHG2__path_1,IN2,CHG2,path_1,1,davg,"0.00,5.00;3.05,0.35;9.00,0.00",,25,11.521,11.521,1,0.466,0.0,0.0,11.987,ok,,
P1__IN1__path_1,P1,IN1,path_1,1,davg,"2.98,0.95;0.00,1.00",,7,2.98,2.98,0,0.0,0.0,0.0,2.98,ok,,
P1__IN2__path_1,P1,IN2,path_1,1,davg,"2.98,0.95;0.00,5.00",,12,5.028,5.028,0,0.0,0.0,0.0,5.028,ok,,
P1__P2__path_1,P1,P2,path_1,1,davg,"2.98,0.95;3.05,0.35;4.50,0.35;4.52,2.35",,10,4.054,4.054,2,1.508,0.0,0.0,5.562,ok,,
P1__P3__path_1,P1,P3,path_1,1,davg,"2.98,0.95;3.05,3.10;3.58,5.25",,10,4.366,4.366,1,0.105,0.0,0.0,4.47,ok,,
P1__P4__path_1,P1,P4,path_1,1,davg,"2.98,0.95;3.05,0.35;4.50,0.35;4.98,1.35",,8,3.163,3.163,2,1.289,0.0,0.0,4.452,ok,,
P1__P5__path_1,P1,P5,path_1,1,davg,"2.98,0.95;3.05,3.10;4.85,4.00;5.62,4.10",,11,4.94,4.94,2,0.705,0.0,0.0,5.645,ok,,
P1__P6__path_1,P1,P6,path_1,1,davg,"2.98,0.95;3.05,3.10;4.85,4.00;5.50,4.25;6.15,5.70;7.98,5.72",,18,8.279,8.279,4,1.546,0.0,0.0,9.825,ok,,
P1__P7__path_1,P1,P7,path_1,1,davg,"2.98,0.95;3.05,0.35;4.50,0.35;6.75,0.40;7.28,1.00",,12,5.105,5.105,3,1.151,0.0,0.0,6.256,ok,,
P1__P8__path_1,P1,P8,path_1,1,davg,"2.98,0.95;3.05,0.35;4.50,0.35;6.75,0.40;8.80,0.55;8.82,2.35",,18,8.16,8.16,4,1.507,0.0,0.0,9.667,ok,,
P1__P9__path_1,P1,P9,path_1,1,davg,"2.98,0.95;3.05,3.10;4.85,4.00;5.50,4.25;6.08,5.05",,13,5.848,5.848,3,0.874,0.0,0.0,6.722,ok,,
P1__SORT1__path_1,P1,SORT1,path_1,1,davg,"2.98,0.95;3.05,0.35;4.50,0.35;6.75,0.40;8.80,0.55;9.72,2.16",,18,8.214,8.214,4,1.253,0.0,0.0,9.468,ok,,
P1__SORT2__path_1,P1,SORT2,path_1,1,davg,"2.98,0.95;3.05,3.10;4.85,4.00;10.36,4.05",,21,9.674,9.674,2,0.765,0.0,0.0,10.438,ok,,
P1__OUT1__path_1,P1,OUT1,path_1,1,davg,"2.98,0.95;3.05,0.35;4.50,0.35;6.75,0.40;8.80,0.55;12.00,2.00",,21,9.873,9.873,4,0.94,0.0,0.0,10.813,ok,,
P1__OUT2__path_1,P1,OUT2,path_1,1,davg,"2.98,0.95;3.05,3.10;4.85,4.00;12.00,4.00",,24,11.314,11.314,2,0.769,0.0,0.0,12.083,ok,,
