from_node,to_node,candidate_count
CHG2,IN2,3
CHG2,P5,3
CHG2,P9,3
IN2,CHG2,3
P3,CHG2,3
P5,CHG2,3
P8,IN1,3
P9,CHG2,3
CHG1,P5,2
CHG1,P6,2
CHG1,P9,2
CHG1,SORT2,2
CHG2,IN1,2
CHG2,OUT2,2
CHG2,P3,2
CHG2,SORT1,2
IN1,OUT1,2
IN1,OUT2,2
IN1,P2,2
IN1,P3,2
IN1,P5,2
IN1,P6,2
IN1,P8,2
IN1,P9,2
IN1,SORT2,2
IN2,OUT1,2
IN2,P1,2
IN2,P2,2
IN2,P4,2
IN2,P7,2
IN2,P8,2
IN2,SORT1,2
OUT1,CHG1,2
OUT1,IN1,2
OUT1,IN2,2
OUT1,P1,2
OUT1,P2,2
OUT1,P3,2
OUT1,P4,2
OUT1,P5,2
OUT1,P7,2
OUT1,P9,2
OUT2,CHG2,2
OUT2,IN1,2
OUT2,IN2,2
OUT2,P1,2
OUT2,P2,2
OUT2,P4,2
OUT2,P6,2
OUT2,P7,2
P1,IN2,2
P1,OUT1,2
P1,OUT2,2
P1,P3,2
P1,P6,2
P1,P9,2
P2,IN1,2
P2,IN2,2
P2,OUT1,2
P2,OUT2,2
P2,P6,2
P2,P7,2
P2,P8,2
P2,SORT1,2
P2,SORT2,2
P3,CHG1,2
P3,IN1,2
P3,OUT1,2
P3,P1,2
P3,P6,2
P3,P7,2
P3,P8,2
P3,SORT1,2
P4,IN2,2
P4,OUT2,2
P4,P8,2
P4,SORT2,2
P5,CHG1,2
P5,IN2,2
P5,P7,2
P5,P8,2
P5,SORT1,2
P6,CHG1,2
P6,CHG2,2
P6,IN1,2
P6,IN2,2
P6,P1,2
P6,P3,2
P6,P8,2
P7,IN1,2
P7,IN2,2
P7,OUT2,2
P7,P2,2
P7,P3,2
P7,P9,2
P8,IN2,2
P8,P2,2
P8,P3,2
P8,P4,2
P8,P5,2
P8,P6,2
P8,P9,2
P9,CHG1,2
P9,P8,2
P9,SORT1,2
SORT1,CHG2,2
SORT1,IN1,2
SORT1,IN2,2
SORT1,P2,2
SORT1,P9,2
SORT1,SORT2,2
SORT2,CHG1,2
SORT2,CHG2,2
SORT2,IN1,2
SORT2,IN2,2
SORT2,P1,2
SORT2,P2,2
SORT2,P4,2
SORT2,P7,2
SORT2,SORT1,2
CHG1,CHG2,1
CHG1,IN1,1
CHG1,IN2,1
CHG1,OUT1,1
CHG1,OUT2,1
CHG1,P1,1
CHG1,P2,1
CHG1,P3,1
CHG1,P4,1
CHG1,P7,1
CHG1,P8,1
CHG1,SORT1,1
CHG2,CHG1,1
CHG2,OUT1,1
CHG2,P1,1
CHG2,P2,1
CHG2,P4,1
CHG2,P6,1
CHG2,P7,1
CHG2,P8,1
CHG2,SORT2,1
IN1,CHG1,1
IN1,CHG2,1
IN1,IN2,1
IN1,P1,1
IN1,P4,1
IN1,P7,1
IN1,SORT1,1
IN2,CHG1,1
IN2,IN1,1
IN2,OUT2,1
IN2,P3,1
IN2,P5,1
IN2,P6,1
IN2,P9,1
IN2,SORT2,1
OUT1,CHG2,1
OUT1,OUT2,1
OUT1,P6,1
OUT1,P8,1
OUT1,SORT1,1
OUT1,SORT2,1
OUT2,CHG1,1
OUT2,OUT1,1
OUT2,P3,1
OUT2,P5,1
OUT2,P8,1
OUT2,P9,1
OUT2,SORT1,1
OUT2,SORT2,1
P1,CHG1,1
P1,CHG2,1
P1,IN1,1
P1,P2,1
P1,P4,1
P1,P5,1
P1,P7,1
P1,P8,1
P1,SORT1,1
P1,SORT2,1
P2,CHG1,1
P2,CHG2,1
P2,P1,1
P2,P3,1
P2,P4,1
P2,P5,1
P2,P9,1
P3,IN2,1
P3,OUT2,1
P3,P2,1
P3,P4,1
P3,P5,1
P3,P9,1
P3,SORT2,1
P4,CHG1,1
P4,CHG2,1
P4,IN1,1
P4,OUT1,1
P4,P1,1
P4,P2,1
P4,P3,1
P4,P5,1
P4,P6,1
P4,P7,1
P4,P9,1
P4,SORT1,1
P5,IN1,1
P5,OUT1,1
P5,OUT2,1
P5,P1,1
P5,P2,1
P5,P3,1
P5,P4,1
P5,P6,1
P5,P9,1
P5,SORT2,1
P6,OUT1,1
P6,OUT2,1
P6,P2,1
P6,P4,1
P6,P5,1
P6,P7,1
P6,P9,1
P6,SORT1,1
P6,SORT2,1
P7,CHG1,1
P7,CHG2,1
P7,OUT1,1
P7,P1,1
P7,P4,1
P7,P5,1
P7,P6,1
P7,P8,1
P7,SORT1,1
P7,SORT2,1
P8,CHG1,1
P8,CHG2,1
P8,OUT1,1
P8,OUT2,1
P8,P1,1
P8,P7,1
P8,SORT1,1
P8,SORT2,1
P9,IN1,1
P9,IN2,1
P9,OUT1,1
P9,OUT2,1
P9,P1,1
P9,P2,1
P9,P3,1
P9,P4,1
P9,P5,1
P9,P6,1
P9,P7,1
P9,SORT2,1
SORT1,CHG1,1
SORT1,OUT1,1
SORT1,OUT2,1
SORT1,P1,1
SORT1,P3,1
SORT1,P4,1
SORT1,P5,1
SORT1,P6,1
SORT1,P7,1
SORT1,P8,1
SORT2,OUT1,1
SORT2,OUT2,1
SORT2,P3,1
SORT2,P5,1
SORT2,P6,1
SORT2,P8,1
SORT2,P9,1
